iter	Passed	Remaining
0	33	33006
1	66	33348
2	101	33794
3	136	33901
4	168	33580
5	202	33565
6	235	33345
7	268	33298
8	300	33089
9	334	33162
10	372	33469
11	403	33243
12	437	33214
13	470	33158
14	504	33140
15	537	33046
16	569	32915
17	602	32855
18	633	32700
19	666	32681
20	697	32521
21	729	32448
22	764	32464
23	794	32321
24	826	32233
25	858	32164
26	894	32221
27	926	32165
28	957	32074
29	990	32041
30	1023	31985
31	1055	31933
32	1088	31882
33	1120	31841
34	1153	31800
35	1187	31795
36	1219	31745
37	1251	31687
38	1285	31674
39	1318	31633
40	1351	31615
41	1387	31653
42	1421	31636
43	1454	31613
44	1489	31612
45	1523	31589
46	1557	31587
47	1591	31569
48	1625	31548
49	1657	31489
50	1688	31410
51	1718	31334
52	1750	31283
53	1783	31242
54	1815	31187
55	1848	31152
56	1879	31100
57	1911	31052
58	1945	31021
59	1976	30962
60	2007	30899
61	2040	30863
62	2071	30808
63	2102	30753
64	2134	30701
65	2167	30673
66	2198	30618
67	2231	30578
68	2262	30532
69	2295	30491
70	2327	30455
71	2358	30397
72	2390	30355
73	2421	30307
74	2455	30287
75	2488	30254
76	2521	30225
77	2553	30185
78	2587	30160
79	2621	30146
80	2653	30109
81	2686	30072
82	2717	30019
83	2747	29964
84	2779	29916
85	2810	29873
86	2843	29839
87	2875	29796
88	2907	29765
89	2940	29736
90	2974	29712
91	3007	29683
92	3039	29639
93	3071	29602
94	3101	29545
95	3132	29498
96	3164	29459
97	3195	29413
98	3228	29382
99	3260	29348
100	3294	29323
101	3325	29273
102	3358	29244
103	3390	29210
104	3422	29173
105	3454	29133
106	3486	29094
107	3519	29064
108	3552	29041
109	3585	29006
110	3616	28960
111	3649	28934
112	3680	28890
113	3712	28849
114	3745	28820
115	3775	28772
116	3809	28748
117	3840	28705
118	3873	28673
119	3905	28643
120	3937	28604
121	3968	28558
122	4000	28521
123	4031	28480
124	4063	28444
125	4097	28424
126	4129	28387
127	4162	28360
128	4195	28326
129	4229	28305
130	4261	28269
131	4293	28232
132	4325	28200
133	4357	28163
134	4389	28126
135	4422	28097
136	4455	28064
137	4488	28036
138	4519	27997
139	4553	27972
140	4586	27939
141	4619	27913
142	4651	27874
143	4683	27840
144	4715	27803
145	4747	27767
146	4779	27736
147	4812	27705
148	4844	27671
149	4876	27634
150	4909	27601
151	4940	27562
152	4973	27530
153	5006	27504
154	5038	27466
155	5070	27433
156	5103	27402
157	5135	27369
158	5167	27333
159	5201	27307
160	5233	27271
161	5267	27246
162	5298	27205
163	5329	27169
164	5362	27137
165	5396	27111
166	5427	27071
167	5461	27045
168	5493	27010
169	5525	26976
170	5556	26938
171	5587	26899
172	5620	26869
173	5654	26842
174	5686	26808
175	5717	26767
176	5751	26743
177	5783	26708
178	5814	26670
179	5847	26637
180	5878	26600
181	5909	26560
182	5940	26520
183	5973	26489
184	6004	26452
185	6036	26418
186	6069	26389
187	6101	26354
188	6133	26316
189	6165	26282
190	6196	26247
191	6229	26216
192	6261	26180
193	6294	26150
194	6325	26113
195	6358	26082
196	6389	26045
197	6421	26010
198	6453	25975
199	6485	25942
200	6517	25908
201	6550	25876
202	6582	25844
203	6613	25807
204	6645	25770
205	6676	25732
206	6706	25692
207	6737	25654
208	6767	25614
209	6800	25582
210	6832	25548
211	6865	25519
212	6897	25485
213	6929	25452
214	6961	25418
215	6993	25384
216	7026	25353
217	7059	25323
218	7091	25291
219	7125	25262
220	7156	25226
221	7188	25191
222	7219	25155
223	7251	25122
224	7283	25088
225	7315	25055
226	7347	25020
227	7379	24986
228	7410	24950
229	7441	24911
230	7475	24884
231	7506	24847
232	7540	24821
233	7571	24784
234	7603	24750
235	7632	24709
236	7666	24680
237	7692	24629
238	7725	24597
239	7757	24566
240	7789	24532
241	7814	24478
242	7845	24441
243	7877	24407
244	7909	24373
245	7940	24338
246	7973	24308
247	8005	24274
248	8035	24234
249	8067	24202
250	8101	24175
251	8134	24143
252	8167	24114
253	8198	24078
254	8229	24044
255	8261	24009
256	8293	23976
257	8325	23942
258	8357	23909
259	8390	23879
260	8422	23848
261	8455	23817
262	8487	23784
263	8518	23747
264	8549	23712
265	8581	23678
266	8614	23650
267	8647	23619
268	8677	23581
269	8708	23544
270	8740	23512
271	8772	23480
272	8804	23446
273	8837	23417
274	8871	23387
275	8902	23352
276	8933	23316
277	8964	23280
278	8996	23248
279	9027	23214
280	9059	23180
281	9090	23146
282	9122	23113
283	9148	23065
284	9179	23030
285	9212	22999
286	9244	22965
287	9276	22933
288	9307	22898
289	9338	22864
290	9370	22829
291	9402	22797
292	9435	22768
293	9470	22741
294	9495	22693
295	9527	22660
296	9553	22613
297	9587	22584
298	9619	22553
299	9651	22519
300	9683	22487
301	9715	22455
302	9747	22421
303	9772	22374
304	9804	22341
305	9835	22306
306	9864	22267
307	9897	22236
308	9931	22208
309	9956	22161
310	9989	22130
311	10021	22098
312	10053	22066
313	10084	22032
314	10110	21986
315	10140	21949
316	10173	21919
317	10205	21888
318	10238	21856
319	10269	21823
320	10302	21791
321	10327	21746
322	10361	21716
323	10391	21681
324	10423	21648
325	10454	21614
326	10487	21584
327	10519	21553
328	10551	21520
329	10584	21490
330	10611	21448
331	10644	21417
332	10677	21387
333	10713	21362
334	10747	21333
335	10775	21294
336	10811	21269
